chapa_original,chapa_normalizada,ocurrencias_en_hoja,caracteristica_asociada,estado_generativo,categoria_riesgo,motivo_estado,mecanismo_observado,patron_abstracto,logica_observada,usar_como_calibracion
¡Elefante de Cotonou!,elefante de cotonou,2,,REFERENCIA_SEGURA,,,LOCALIZACION_ABSURDA,[SER/REFERENTE] + de/del + [LUGAR ESPECIFICO],La especificidad del lugar crea sorpresa: el referente parece pertenecer a un sitio inesperado.,SI
Pingüina gorda,pinguina gorda,3,nariz larga,REVISION_EDITORIAL,BODY_SHAMING,Incluye una valoración corporal potencialmente degradante.,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
"Chema ciento, basura con permanente.",chema ciento basura con permanente,1,,REVISION_EDITORIAL,HUMILLACION_DEGRADANTE,La imagen depende de 'basura' como descalificación de la persona.,HIBRIDACION_CON,[OBJETO/ANIMAL/FENOMENO] + con + [ACCESORIO/PARTE],Une dos dominios alejados mediante 'con' para producir una imagen visual inmediata.,NO
Meteorito con lentes.,meteorito con lentes,3,pelo rizado y lentes,REFERENCIA_SEGURA,,,HIBRIDACION_CON,[OBJETO/ANIMAL/FENOMENO] + con + [ACCESORIO/PARTE],Une dos dominios alejados mediante 'con' para producir una imagen visual inmediata.,SI
rana cejona,rana cejona,2,,REFERENCIA_SEGURA,,,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,SI
pájaro,pajaro,1,,REFERENCIA_SEGURA,,,ETIQUETA_MINIMA,[SUSTANTIVO/OBJETO],Apodo ultrabreve: funciona solo si el contexto del rasgo crea una asociación inesperada.,NO
cabra vieja,cabra vieja,1,,REVISION_EDITORIAL,EDADISMO,Usa edad de forma peyorativa.,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,NO
garrapata cabra,garrapata cabra,2,,REFERENCIA_SEGURA,,,YUXTAPOSICION_BREVE,[SUSTANTIVO/REFERENTE] + [ADJETIVO/SUSTANTIVO INESPERADO],Dos unidades bastan para formar una imagen mental rápida; la distancia semántica hace el chiste.,SI
abuelita de satanás,abuelita de satanas,1,,REFERENCIA_SEGURA,,,REFERENCIA_CULTURAL_DESPLAZADA,[REFERENTE CONOCIDO] + de/del + [LUGAR/RELACION INESPERADA],Parte de un personaje o referente conocido y lo aterriza en un contexto cotidiano o improbable.,NO
llenacabra,llenacabra,1,,REFERENCIA_SEGURA,,,DEFORMACION_LEXICA,[PALABRA DEFORMADA / PORTMANTEAU],La comicidad depende de una palabra alterada que suena familiar pero produce una imagen nueva.,SI
